Course Abbr,S/T,Course Title,Cr(US),Cr(ECTS),Start Date,End Date,Days,Time,Enr,Cap,Faculty,Room
ECON 301,2T,Econometrics I,3.0,6,14-AUG-23,24-NOV-23,R,07:00 PM-07:50 PM,30,50,Berk Yavuzoglu,8.307 -cap:55
ECON 301,3T,Econometrics I,3.0,6,14-AUG-23,24-NOV-23,F,06:00 PM-06:50 PM,48,50,Berk Yavuzoglu,8.307 -cap:55
ECON 301,1L,Econometrics I,3.0,6,14-AUG-23,24-NOV-23,T R,04:30 PM-05:45 PM,117,120,Berk Yavuzoglu,GreenHall -cap:231
ECON 325,2L,International Trade,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,46,40,AndreyTkachenko,8.307 -cap:55
ECON 326,1L,The Economics ofFinancial Markets,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,35,40,Giulio Seccia,2.322 -cap:45
ECON 333,1L,Political Economy,3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,40,40,Ahmet Altinok,8.154 -cap:56
ECON 333,2L,Political Economy,3.0,6,14-AUG-23,24-NOV-23,M W F,11:00 AM-11:50 AM,39,40,Ahmet Altinok,8.154 -cap:56
ECON 335,1L,Economics of Information,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,42,40,Levent Kockesen,8.154 -cap:56
ECON 335,2L,Economics of Information,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,41,40,Levent Kockesen,8.154 -cap:56
ECON 402,1L,AdvancedMacroeconomics,3.0,6,14-AUG-23,24-NOV-23,W,04:00 PM-06:45 PM,36,35,Francesc XavierMateos Planas,8.302 -cap:57
ECON 403,1L,Introduction to ContractTheory and Auctions,3.0,6,14-AUG-23,24-NOV-23,M W F,09:00 AM-09:50 AM,48,27,Alejandro MeloPonce,7E.329 -cap:95
ECON 413,1L,Econometrics II TimeSeries,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,41,30,Josef Ruzicka,8.307 -cap:55
ECON 413,2L,Econometrics II TimeSeries,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,36,27,Josef Ruzicka,8.307 -cap:55
ECON 428,1L,Wages and the LaborMarket,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,40,32,Berk Yavuzoglu,8.154 -cap:56
ECON 428,2L,Wages and the LaborMarket,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,39,35,Berk Yavuzoglu,8.154 -cap:56
ECON 433,1L,Econometrics II PanelData,3.0,6,14-AUG-23,24-NOV-23,M W F,09:00 AM-09:50 AM,30,30,Rajarshi Bhowal,8.307 -cap:55
ECON 433,2L,Econometrics II PanelData,3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,33,27,Rajarshi Bhowal,8.307 -cap:55
ELCE 200,1L,Circuits Theory I,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,51,60,GalymzhanNauryzbayev,3E.223 -cap:63
ELCE 203,1L,Signals and Systems,3.0,6,14-AUG-23,24-NOV-23,T R,09:00 AM-10:15 AM,60,60,MuhammadAkhtar,7E.529 -cap:95
ELCE 203L,1Lb,Signals and SystemsLaboratory,1.0,2,14-AUG-23,24-NOV-23,M,04:00 PM-05:45 PM,27,25,ShyngysSalakchinov,3E.318 -cap:40
ELCE 203L,2Lb,Signals and SystemsLaboratory,1.0,2,14-AUG-23,24-NOV-23,F,04:00 PM-05:45 PM,24,25,ShyngysSalakchinov,3E.318 -cap:40
ELCE 204,2Lb,Solid State Devices,3.0,6,14-AUG-23,24-NOV-23,F,09:00 AM-10:50 AM,6,35,Annie Ng,TBA -cap:0
ELCE 204,1L,Solid State Devices,3.0,6,14-AUG-23,24-NOV-23,M W F,11:00 AM-11:50 AM,6,75,Annie Ng,3E.224 -cap:90
ELCE 205,1L,Discrete Mathematics,3.0,6,14-AUG-23,24-NOV-23,M W F,09:00 AM-09:50 AM,49,60,Ikechi Ukaegbu,3E.224 -cap:90
ELCE 301,1L,Electronic Circuits,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,36,75,MohammadHashmi,3E.224 -cap:90
ELCE 301,1T,Electronic Circuits,3.0,6,14-AUG-23,24-NOV-23,M,01:00 PM-01:50 PM,36,75,MohammadHashmi,3E.224 -cap:90
ELCE 301L,1Lb,Electronic CircuitsLaboratory,1.0,2,14-AUG-23,24-NOV-23,M,04:00 PM-05:45 PM,20,25,Ikechi Ukaegbu,3E.320 -cap:28
ELCE 301L,2Lb,Electronic CircuitsLaboratory,1.0,2,14-AUG-23,24-NOV-23,F,04:00 PM-05:45 PM,13,25,Ikechi Ukaegbu,3E.320 -cap:28
ELCE 304,1L,Computer Networks,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,38,50,Refik Kizilirmak,3E.223 -cap:63
ELCE 304L,1Lb,Computer NetworksLaboratory,1.0,2,14-AUG-23,24-NOV-23,M,02:00 PM-02:45 PM,25,25,Refik Kizilirmak,3E.318 -cap:40
ELCE 304L,2Lb,Computer NetworksLaboratory,1.0,2,14-AUG-23,24-NOV-23,F,02:00 PM-02:45 PM,13,25,Refik Kizilirmak,3E.318 -cap:40
ELCE 306,1L,Linear Control Theory,3.0,6,14-AUG-23,24-NOV-23,T R,03:05 PM-04:15 PM,25,70,Mehdi Shafiee,3E.224 -cap:90
ELCE 307,1L,Digital Signal Processing,3.0,6,14-AUG-23,24-NOV-23,T R,04:30 PM-05:45 PM,13,70,MuhammadAkhtar,3E.224 -cap:90
ELCE 350,1L,Electromagnetics I,3.0,6,14-AUG-23,24-NOV-23,M W,01:00 PM-01:50 PM,19,40,Carlo Molardi,3.316 -cap:41
ELCE 350,1L,Electromagnetics I,3.0,6,14-AUG-23,24-NOV-23,F,01:00 PM-01:50 PM,19,40,Carlo Molardi,3.309 -cap:40
ELCE 452,1L,Renewable Energy andElectric Vehicles,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,39,40,Mehdi Bagheri,3E.220 -cap:90
ELCE 455,1L,Machine Learning withPython,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,37,40,Amin Zollanvari,3E.223 -cap:63
ELCE 461,1L,Industrial Automation,3.0,6,14-AUG-23,24-NOV-23,T R,04:30 PM-05:45 PM,35,40,Mehdi Shafiee,3.309 -cap:40
ELCE 462,1L,Wireless Networks,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,12,40,Behrouz Maham,3.309 -cap:40
ELCE 463,1L,Network Science:Methods and Applications,3.0,6,14-AUG-23,24-NOV-23,T R,09:00 AM-10:15 AM,9,70,"AinurRakhymbay,Aresh Dadlani",Online -cap:0
ELCE 465,1L,PCB Design andManufacturing,3.0,6,14-AUG-23,24-NOV-23,M W,03:00 PM-04:15 PM,27,28,SultangaliArzykulov,3E.217 -cap:28
ELCE 466,1L,RF and MicrowaveCircuits,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,11,40,MohammadHashmi,3.309 -cap:40
ENG 100,1Lb,Introduction to Engineering,3.0,6,14-AUG-23,24-NOV-23,T,12:00 PM-02:45 PM,69,70,"GulnurKalimuldina,GulsimKulsharova,KonstantinosKostas,WoojinLee,AishuakKonarov",3.323 -cap:64
ENG 100,2Lb,Introduction to Engineering,3.0,6,14-AUG-23,24-NOV-23,R,12:00 PM-02:45 PM,67,70,"GulnurKalimuldina,GulsimKulsharova,KonstantinosKostas,WoojinLee,AishuakKonarov",3.323 -cap:64
ENG 100,3Lb,Introduction to Engineering,3.0,6,14-AUG-23,24-NOV-23,T,03:00 PM-05:45 PM,51,70,"GulnurKalimuldina,GulsimKulsharova,KonstantinosKostas,WoojinLee,AishuakKonarov",3.323 -cap:64
ENG 100,4Lb,Introduction to Engineering,3.0,6,14-AUG-23,24-NOV-23,R,03:00 PM-05:45 PM,23,70,"GulnurKalimuldina,GulsimKulsharova,KonstantinosKostas,WoojinLee,AishuakKonarov",3.323 -cap:64
ENG 100,1L,Introduction to Engineering,3.0,6,14-AUG-23,24-NOV-23,T R,09:00 AM-10:15 AM,210,280,"GulnurKalimuldina,GulsimKulsharova,KonstantinosKostas,WoojinLee,AishuakKonarov",3.323 -cap:64
ENG 101,1L,Programming for Engineers,3.0,6,14-AUG-23,24-NOV-23,,Online/Distant,210,240,SultangaliArzykulov,,
ENG 101,1Lb,Programming for Engineers,3.0,6,14-AUG-23,24-NOV-23,T,12:00 PM-02:45 PM,57,62,"Shyngys Salakchinov,AzamatBakytbekov",3E.227 -cap:28
ENG 101,2Lb,Programming for Engineers,3.0,6,14-AUG-23,24-NOV-23,R,12:00 PM-02:45 PM,57,62,"Shyngys Salakchinov,AzamatBakytbekov",3E.227 -cap:28
ENG 101,3Lb,Programming for Engineers,3.0,6,14-AUG-23,24-NOV-23,T,03:00 PM-05:45 PM,42,62,"Shyngys Salakchinov,AzamatBakytbekov",3E.227 -cap:28
ENG 101,4Lb,Programming for Engineers,3.0,6,14-AUG-23,24-NOV-23,R,03:00 PM-05:45 PM,54,62,"Shyngys Salakchinov,AzamatBakytbekov",3E.227 -cap:28
ENG 200,1Lb,Engineering MathematicsIII (Differential Equations and Linear Algebra),3.0,6,14-AUG-23,24-NOV-23,W,12:00 PM-01:45 PM,57,60,ElnaraKussinova,3.323 - cap:64
ENG 200,2Lb,Engineering MathematicsIII (Differential Equations and Linear Algebra),3.0,6,14-AUG-23,24-NOV-23,F,03:00 PM-04:45 PM,48,50,YanweiWang,3.323 - cap:64
ENG 200,3Lb,Engineering MathematicsIII (Differential Equations and Linear Algebra),3.0,6,14-AUG-23,24-NOV-23,M,03:45 PM-05:45 PM,49,55,DmitriySizov,3.323 - cap:64
ENG 200,4Lb,Engineering MathematicsIII (Differential Equations and Linear Algebra),3.0,6,14-AUG-23,24-NOV-23,M,12:00 PM-01:45 PM,30,30,AinurRakhymbay,3.323 - cap:64
ENG 200,3L,Engineering MathematicsIII (Differential Equations and Linear Algebra),3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,52,55,DmitriySizov,3.302 - cap:76
ENG 200,6Lb,Engineering MathematicsIII (Differential Equations and Linear Algebra),3.0,6,14-AUG-23,24-NOV-23,F,09:00 AM-10:45 AM,23,45,ElnaraKussinova,3E.217 -cap:28
ENG 200,1L,Engineering MathematicsIII (Differential Equationsand Linear Algebra),3.0,6,14-AUG-23,24-NOV-23,M W F,11:00 AM-11:50 AM,75,85,ElnaraKussinova,3E.220 -cap:90
ENG 200,2L,Engineering MathematicsIII (Differential Equationsand Linear Algebra),3.0,6,14-AUG-23,24-NOV-23,M W F,02:00 PM-02:50 PM,42,50,YanweiWang,3E.221 -cap:50
ENG 200,4L,Engineering MathematicsIII (Differential Equationsand Linear Algebra),3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,55,55,DanieleTosi,3E.223 -cap:63
ENG 200,5L,Engineering MathematicsIII (Differential Equationsand Linear Algebra),3.0,6,14-AUG-23,24-NOV-23,M W F,02:00 PM-02:50 PM,8,30,PrashantJamwal,3E.223 -cap:63
ENG 200,5Lb,Engineering MathematicsIII (Differential Equationsand Linear Algebra),3.0,6,14-AUG-23,24-NOV-23,W,12:00 PM-01:45 PM,25,30,AinurRakhymbay,3E.227 -cap:28
ENG 400,2L,Capstone Project,3.0,6,14-AUG-23,24-NOV-23,M W,11:00 AM-11:50 AM,42,40,Dhawal Shah,3.323 -cap:64
ENG 400,4L,Capstone Project,3.0,6,14-AUG-23,24-NOV-23,W,04:30 PM-05:45 PM,63,80,GalymzhanNauryzbayev,Online -cap:0
ENG 400,2L,Capstone Project,3.0,6,14-AUG-23,24-NOV-23,F,11:00 AM-11:50 AM,42,40,Dhawal Shah,3.416 -cap:46
ENG 400,3L,Capstone Project,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,58,75,Woojin Lee,3E.220 -cap:90
ENG 400,1L,Capstone Project,3.0,6,14-AUG-23,24-NOV-23,M,03:00 PM-04:45 PM,54,60,KonstantinosKostas,3E.221 -cap:50
FRE 102,1L,Beginning French II,4.0,8,14-AUG-23,24-NOV-23,M T W R,12:00 PM-12:50 PM,23,24,SauleDochshanova,8.305 -cap:30
FRE 201,1L,Intermediate French I,4.0,8,14-AUG-23,24-NOV-23,M T W R,01:00 PM-01:50 PM,13,24,SauleDochshanova,8.305 -cap:30
FRE 202,1L,Intermediate French II,4.0,8,14-AUG-23,24-NOV-23,M T W R,11:00 AM-11:50 AM,7,24,SauleDochshanova,8.305 -cap:30
GEOL 201,1L,Mineralogy,3.0,6,14-AUG-23,24-NOV-23,M W,02:00 PM-03:15 PM,24,24,George Mathews,6.427 -cap:24
GEOL 202,1L,Geologic Maps and Cross-Sections,3.0,6,14-AUG-23,24-NOV-23,T R,02:30 PM-03:45 PM,17,25,Kamal Regmi,6.427 -cap:24
GEOL 202,1Lb,Geologic Maps and Cross-Sections,3.0,6,14-AUG-23,24-NOV-23,T,04:00 PM-04:50 PM,17,25,Kamal Regmi,6.427 -cap:24
GEOL 203,1L,Geomorphology,3.0,6,14-AUG-23,24-NOV-23,T R,11:00 AM-12:15 PM,15,20,Medet Junussov,6.419 -cap:24
GEOL 301,1L,Sedimentary petrology,3.0,6,14-AUG-23,24-NOV-23,T R,09:30 AM-10:45 AM,3,6,Azam SoltaniDehnavi,6.327 -cap:10
GEOL 302,1L,Thermodynamics andGeochemistry,3.0,6,14-AUG-23,24-NOV-23,M W,11:30 AM-12:45 PM,3,6,Kamal Regmi,6.418 -cap:12
GEOL 303,1L,Structural Geology andTectonics,3.0,6,14-AUG-23,24-NOV-23,M W,10:00 AM-11:15 AM,4,8,SebastianusWillem Josef DenBrok,6.427 -cap:24
GEOL 305,1L,Geology of ore deposits,3.0,6,14-AUG-23,24-NOV-23,T R,02:00 PM-03:15 PM,11,10,George Mathews,6.418 -cap:12
GEOL 308,1L,EnvironmentalGeochemistry,3.0,6,14-AUG-23,24-NOV-23,M W,02:00 PM-03:15 PM,11,10,Azam SoltaniDehnavi,6.327 -cap:10
GEOL 309,1L,Hydrogeology,3.0,6,14-AUG-23,24-NOV-23,F,11:00 AM-12:15 PM,18,20,MarzhanBaigaliyeva,6.422 -cap:28
GEOL 309,1L,Hydrogeology,3.0,6,14-AUG-23,24-NOV-23,W,11:00 AM-12:15 PM,18,20,MarzhanBaigaliyeva,6.507 -cap:72
GEOL 310,1OCA,Field Geology 2,3.0,6,14-AUG-23,24-NOV-23,S,01:00 PM-01:50 PM,11,17,SebastianusWillem Josef DenBrok,6.105 -cap:64
GEOL 401,1L,Petroleum Geology andGeochemistry,3.0,6,14-AUG-23,24-NOV-23,M,03:30 PM-04:20 PM,28,40,Milovan Fustic,6.507 -cap:72
,,,,,,,W,03:30 PM-04:45 PM,,,,
GEOL 404,1P,Research Project I,3.0,6,14-AUG-23,24-NOV-23,S,09:00 AM-09:50 AM,10,15,Milovan Fustic,6.327 -cap:10
HST 100,1L,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,,Online/Distant,698,720,AminatChokobaeva,
HST 100,28S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,M,02:00 PM-02:50 PM,21,24,Javeed Ahwar,8.319 -cap:30
HST 100,29S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,W,02:00 PM-02:50 PM,22,24,Javeed Ahwar,8.319 -cap:30
HST 100,30S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,F,02:00 PM-02:50 PM,24,24,Javeed Ahwar,8.319 -cap:30
HST 100,1S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,M,09:00 AM-09:50 AM,23,24,Michael Bechtel,7.517 -cap:25
HST 100,2S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,M,10:00 AM-10:50 AM,23,24,Michael Bechtel,7.517 -cap:25
HST 100,3S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,M,11:00 AM-11:50 AM,24,24,Halit Akarca,7.517 -cap:25
HST 100,4S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,M,12:00 PM-12:50 PM,25,24,Michael Bechtel,7.517 -cap:25
HST 100,5S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,M,01:00 PM-01:50 PM,24,24,DianaKopbayeva,7.517 -cap:25
HST 100,6S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,M,02:00 PM-02:50 PM,24,24,DianaKopbayeva,7.517 -cap:25
HST 100,7S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,M,03:00 PM-03:50 PM,24,24,Halit Akarca,7.517 -cap:25
HST 100,8S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,M,04:00 PM-04:50 PM,23,24,"GaliyaSagyndykova,AminatChokobaeva",7.517 -cap:25
HST 100,9S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,M,05:00 PM-05:50 PM,24,24,DianaKopbayeva,7.517 -cap:25
HST 100,10S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,W,09:00 AM-09:50 AM,24,24,MeiramgulKussainova,7.517 -cap:25
HST 100,11S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,W,10:00 AM-10:50 AM,24,24,MeiramgulKussainova,7.517 -cap:25
HST 100,12S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,W,11:00 AM-11:50 AM,22,24,RozaliyaGaripova,7.517 -cap:25
HST 100,13S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,W,12:00 PM-12:50 PM,24,24,MeiramgulKussainova,7.517 -cap:25
HST 100,14S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,W,01:00 PM-01:50 PM,23,24,DianaKopbayeva,7.517 -cap:25
HST 100,15S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,W,02:00 PM-02:50 PM,24,24,DianaKopbayeva,7.517 -cap:25
HST 100,16S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,W,03:00 PM-03:50 PM,22,24,RozaliyaGaripova,7.517 -cap:25
HST 100,17S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,W,04:00 PM-04:50 PM,23,24,"GaliyaSagyndykova,AminatChokobaeva",7.517 -cap:25
HST 100,18S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,W,05:00 PM-05:50 PM,24,24,DianaKopbayeva,7.517 -cap:25
HST 100,19S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,F,09:00 AM-09:50 AM,24,24,RozaliyaGaripova,7.517 -cap:25
HST 100,20S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,F,10:00 AM-10:50 AM,21,24,RozaliyaGaripova,7.517 -cap:25
HST 100,21S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,F,11:00 AM-11:50 AM,24,24,RozaliyaGaripova,7.517 -cap:25
HST 100,22S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,F,12:00 PM-12:50 PM,24,24,RozaliyaGaripova,7.517 -cap:25
HST 100,23S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,F,01:00 PM-01:50 PM,21,24,DianaKopbayeva,7.517 -cap:25
HST 100,24S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,F,02:00 PM-02:50 PM,24,24,DianaKopbayeva,7.517 -cap:25
HST 100,25S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,F,03:00 PM-03:50 PM,23,24,Halit Akarca,7.517 -cap:25
HST 100,26S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,F,04:00 PM-04:50 PM,23,24,"GaliyaSagyndykova,AminatChokobaeva",7.517 -cap:25
HST 100,27S,History of Kazakhstan,3.0,6,14-AUG-23,24-NOV-23,F,05:00 PM-05:50 PM,23,24,DianaKopbayeva,7.517 -cap:25
HST 124,1L,Introduction to the Historyof Medicine,3.0,6,14-AUG-23,24-NOV-23,T R,06:00 PM-07:15 PM,31,30,Di Lu,8.154 -cap:56
HST 132,1L,European History II (from1700),3.0,6,14-AUG-23,24-NOV-23,T R,04:30 PM-05:45 PM,33,30,Curtis Murphy,7.210 -cap:54
HST 172,1L,Middle Eastern History II(from 1800),3.0,6,14-AUG-23,24-NOV-23,M W F,09:00 AM-09:50 AM,32,30,Halit Akarca,8.327 -cap:58
HST 205,1L,The Mongol Empire,3.0,6,14-AUG-23,24-NOV-23,T R,04:30 PM-05:45 PM,32,28,Michael Bechtel,2.322 -cap:45
HST 232,1L,Russian History fromRiurik to Catherine theGreat,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,26,28,DanielScarborough,2.302 -cap:78
HST 271/TUR271,1L,History of the OttomanEmpire,3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,29,28,Halit Akarca,7E.125/1- cap:36
HST 346,1L,Genocide in ModernHistory,3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,28,28,"GaliyaSagyndykova,AminatChokobaeva",7E.231/1- cap:72
HST 424,1S,Global Histories,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,17,20,Di Lu,8.310 -cap:27
HST 498,1IS,Directed Reading,3.0,6,14-AUG-23,24-NOV-23,,Online/Distant,9,20,RozaliyaGaripova,
KAZ 001,1L,Kazakh LanguagePlacement Test,0.0,0,07-AUG-23,07-AUG-23,M W,10:00 AM-07:00 PM,0,40,Aidar Balabekov,Online -cap:0
KAZ 201,1L,Academic Kazakh I,3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,14,16,Aidar Balabekov,8.141 -cap:24
KAZ 201,2L,Academic Kazakh I,3.0,6,14-AUG-23,24-NOV-23,M W F,11:00 AM-11:50 AM,10,16,Aidar Balabekov,8.141 -cap:24
KAZ 201,3L,Academic Kazakh I,3.0,6,14-AUG-23,24-NOV-23,M W F,12:00 PM-12:50 PM,15,16,Aidar Balabekov,8.141 -cap:24
KAZ 201,6L,Academic Kazakh I,3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,7,16,Kulyan Kopesh,8.508 -cap:24
KAZ 201,7L,Academic Kazakh I,3.0,6,14-AUG-23,24-NOV-23,M W F,11:00 AM-11:50 AM,9,16,Kulyan Kopesh,8.508 -cap:24
KAZ 201,8L,Academic Kazakh I,3.0,6,14-AUG-23,24-NOV-23,M W F,03:00 PM-03:50 PM,16,16,Kulyan Kopesh,8.508 -cap:24
KAZ 201,4L,Academic Kazakh I,3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,10,16,GulzhamilyaShalabayeva,8.140 -cap:24
KAZ 201,5L,Academic Kazakh I,3.0,6,14-AUG-23,24-NOV-23,M W F,11:00 AM-11:50 AM,14,16,GulzhamilyaShalabayeva,8.140 -cap:24
KAZ 202,9L,Academic Kazakh II,3.0,6,14-AUG-23,24-NOV-23,M W F,01:00 PM-01:50 PM,11,16,SamalAbzhanova,6.302 -cap:44
KAZ 202,8L,Academic Kazakh II,3.0,6,14-AUG-23,24-NOV-23,M W F,11:00 AM-11:50 AM,15,16,SamalAbzhanova,7.105 -cap:75
KAZ 202,5L,Academic Kazakh II,3.0,6,14-AUG-23,24-NOV-23,M W F,02:00 PM-02:50 PM,15,16,GulzhamilyaShalabayeva,8.141 -cap:24
KAZ 202,6L,Academic Kazakh II,3.0,6,14-AUG-23,24-NOV-23,M W F,03:00 PM-03:50 PM,16,16,GulzhamilyaShalabayeva,8.141 -cap:24
KAZ 202,11L,Academic Kazakh II,3.0,6,14-AUG-23,24-NOV-23,T R,09:00 AM-10:15 AM,5,16,BakytAkbuzauova,8.141 -cap:24
KAZ 202,12L,Academic Kazakh II,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,10,16,BakytAkbuzauova,8.141 -cap:24
KAZ 202,13L,Academic Kazakh II,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,15,16,BakytAkbuzauova,8.141 -cap:24
KAZ 202,14L,Academic Kazakh II,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,12,16,BakytAkbuzauova,8.141 -cap:24
KAZ 202,15L,Academic Kazakh II,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,15,16,RaushanMyrzabekova,8.140 -cap:24
KAZ 202,16L,Academic Kazakh II,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,15,16,RaushanMyrzabekova,8.140 -cap:24
KAZ 202,17L,Academic Kazakh II,3.0,6,14-AUG-23,24-NOV-23,T R,04:30 PM-05:45 PM,12,16,RaushanMyrzabekova,8.140 -cap:24
KAZ 202,18L,Academic Kazakh II,3.0,6,14-AUG-23,24-NOV-23,T R,06:00 PM-07:15 PM,9,16,RaushanMyrzabekova,8.140 -cap:24
KAZ 212,1S,Academic Writing inKazakh,3.0,6,14-AUG-23,24-NOV-23,M W F,04:00 PM-04:50 PM,16,16,KuralayOralbekova,8.141 -cap:24
KAZ 212,2S,Academic Writing inKazakh,3.0,6,14-AUG-23,24-NOV-23,M W F,05:00 PM-05:50 PM,16,16,KuralayOralbekova,8.141 -cap:24
KAZ 313,2S,Kazakh for Business,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,29,30,GulnaraOmarbekova,8.321 -cap:32
KAZ 313,5S,Kazakh for Business,3.0,6,14-AUG-23,24-NOV-23,T R,06:00 PM-07:45 PM,30,30,GulnaraOmarbekova,8.307 -cap:55
KAZ 313,6S,Kazakh for Business,3.0,6,14-AUG-23,24-NOV-23,M W F,02:00 PM-02:50 PM,27,24,SamalAbzhanova,6.302 -cap:44
KAZ 313,7S,Kazakh for Business,3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,29,24,SamalAbzhanova,7.105 -cap:75
KAZ 313,1S,Kazakh for Business,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,32,30,ElmiraOrazaliyeva,7.507 -cap:48
KAZ 313,3S,Kazakh for Business,3.0,6,14-AUG-23,24-NOV-23,T R,06:00 PM-07:15 PM,33,30,ZeinepZhumatayeva,7.507 -cap:48
KAZ 313,4S,Kazakh for Business,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,34,30,ZeinekhanKuzekova,9.204 -cap:38
KAZ 351,1S,Kazakh Short Stories,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,30,30,ZhanarAbdigapparova,9.204 -cap:38
KAZ 353,1S,Kazakh Poetry,3.0,6,14-AUG-23,24-NOV-23,M W F,11:00 AM-11:50 AM,24,24,NuraiymKossybak,8.308 -cap:24
KAZ 353,2S,Kazakh Poetry,3.0,6,14-AUG-23,24-NOV-23,M W F,12:00 PM-12:50 PM,24,24,NuraiymKossybak,8.308 -cap:24
KAZ 353,3S,Kazakh Poetry,3.0,6,14-AUG-23,24-NOV-23,M W F,03:00 PM-03:50 PM,22,24,NuraiymKossybak,8.308 -cap:24
KAZ 353,4S,Kazakh Poetry,3.0,6,14-AUG-23,24-NOV-23,M W F,04:00 PM-04:50 PM,23,24,NuraiymKossybak,8.308 -cap:24
KAZ 356,1S,Kazakh Music History,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,35,30,MeiramgulKussainova,2.407 -cap:85
