Course Abbr,S/T,Course Title,Cr(US),Cr(ECTS),Start Date,End Date,Days,Time,Enr,Cap,Faculty,Room
BIOL 301L,1Lb,Molecular Cell BiologyLaboratory,1.0,2,14-AUG-23,24-NOV-23,W,12:00 PM-02:50 PM,8,20,Radmir Sarsenov,7.410 -cap:15
BIOL 305,1L,Introduction toMicrobiology,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,36,48,DamiraKanayeva,7E.220 -cap:56
BIOL 305L,1Lb,Introduction toMicrobiology Laboratory,1.0,2,14-AUG-23,24-NOV-23,W,10:00 AM-12:50 PM,11,20,Burkitkan Akbay,7.407 -cap:20
BIOL 305L,2Lb,Introduction toMicrobiology Laboratory,1.0,2,14-AUG-23,24-NOV-23,F,03:00 PM-05:50 PM,19,20,Radmir Sarsenov,7.407 -cap:20
BIOL 305L,3Lb,Introduction toMicrobiology Laboratory,1.0,2,14-AUG-23,24-NOV-23,W,03:00 PM-05:50 PM,12,20,Burkitkan Akbay,7.407 -cap:20
BIOL 310,1L,Immunology,3.0,6,14-AUG-23,24-NOV-23,M W F,03:00 PM-03:50 PM,19,70,Timo Burster,5.103 -cap:160
BIOL 320,1L,Developmental Biology,3.0,6,14-AUG-23,24-NOV-23,T R,04:30 PM-05:45 PM,23,60,ZhanatMuminova,7E.529 -cap:95
BIOL 321,1L,Bioethics,3.0,6,14-AUG-23,24-NOV-23,T R,09:00 AM-10:15 AM,31,160,AnaraZhumadilova,Online -cap:0
BIOL 331,1L,Human Anatomy andPhysiology II,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,8,54,Tursonjan Tokay,6.105 -cap:64
BIOL 341,1L,Biochemistry I,3.0,6,14-AUG-23,24-NOV-23,M W F,11:00 AM-11:50 AM,24,90,Timo Burster,BlueHall -cap:239
BIOL 355,2L,Critical ResearchReasoning,3.0,6,14-AUG-23,24-NOV-23,T,10:00 AM-11:15 AM,24,40,Jeanette KunzHalder,NUSOM Building - cap:0
,,,,,,,R,11:00 AM-12:15 PM,,,,
BIOL 355,1L,Critical ResearchReasoning,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,24,24,yingqiu Xie,7E.545/1- cap:25
BIOL 355,3L,Critical ResearchReasoning,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,24,24,yingqiu Xie,7E.545/1- cap:25
BIOL 370,1L,Genetics,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,26,90,ZhanatMuminova,7E.529 -cap:95
BIOL 380,1L,Biology of Behavior,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,58,70,Tursonjan Tokay,2.302 -cap:78
BIOL 385,1L,Cell signaling: principlesand mechanisms,3.0,6,14-AUG-23,24-NOV-23,M W F,02:00 PM-02:50 PM,41,60,Anna Andreeva,7E.529 -cap:95
BIOL 452,1L,Biology of Cancer,3.0,6,14-AUG-23,24-NOV-23,M W F,02:00 PM-02:50 PM,25,90,EugenePonomarev,5.103 -cap:160
BIOL 456,4S,Biology Research Design,3.0,6,14-AUG-23,24-NOV-23,M W F,11:00 AM-11:50 AM,28,24,EugenePonomarev,8.302 -cap:57
BIOL 456,1S,Biology Research Design,3.0,6,14-AUG-23,24-NOV-23,M W F,01:00 PM-01:50 PM,9,24,Otilia Nuta,7.527 -cap:24
BIOL 456,3S,Biology Research Design,3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,8,24,Otilia Nuta,7.527 -cap:24
BIOL 456,2S,Biology Research Design,3.0,6,14-AUG-23,24-NOV-23,T R,09:00 AM-10:15 AM,7,24,Tri Pham,7E.222 -cap:95
BIOL 460,1L,Human Parasitology,3.0,6,14-AUG-23,24-NOV-23,T R,09:00 AM-10:15 AM,19,48,ZhanatMuminova,7E.220 -cap:56
BIOL 490,1R,Honors Thesis Research,0.0,0,14-AUG-23,24-NOV-23,,Online/Distant,6,24,OlenaFilchakova,
BUS 101,1L,Core Course in Business,3.0,6,14-AUG-23,24-NOV-23,F,11:10 AM-11:50 AM,580,588,"SaniyaBarbolova,MoldirKaiynbayeva,Timothy Wawn,AigerimZhangozina",Online - cap:0
,,,,,,,M,08:00 PM-08:50 PM,,,,
BUS 101,1R,Core Course in Business,3.0,6,14-AUG-23,24-NOV-23,T,09:00 AM-09:50 AM,48,49,"SaniyaBarbolova,MoldirKaiynbayeva,Timothy Wawn,AigerimZhangozina",(C3)1009 - cap:70
BUS 101,2R,Core Course in Business,3.0,6,14-AUG-23,24-NOV-23,T,10:00 AM-10:50 AM,47,49,"SaniyaBarbolova,MoldirKaiynbayeva,Timothy Wawn,AigerimZhangozina",(C3)1009 - cap:70
BUS 101,3R,Core Course in Business,3.0,6,14-AUG-23,24-NOV-23,T,11:00 AM-11:50 AM,48,49,"SaniyaBarbolova,MoldirKaiynbayeva,Timothy Wawn,AigerimZhangozina",(C3)1009 - cap:70
BUS 101,4R,Core Course in Business,3.0,6,14-AUG-23,24-NOV-23,T,01:00 PM-01:50 PM,49,49,"SaniyaBarbolova,MoldirKaiynbayeva,Timothy Wawn,AigerimZhangozina",(C3)1009 - cap:70
BUS 101,5R,Core Course in Business,3.0,6,14-AUG-23,24-NOV-23,T,02:00 PM-02:50 PM,49,49,"SaniyaBarbolova,MoldirKaiynbayeva,Timothy Wawn,AigerimZhangozina",(C3)1009 - cap:70
BUS 101,6R,Core Course in Business,3.0,6,14-AUG-23,24-NOV-23,T,03:00 PM-03:50 PM,49,49,"SaniyaBarbolova,MoldirKaiynbayeva,Timothy Wawn,AigerimZhangozina",(C3)1009 - cap:70
BUS 101,7R,Core Course in Business,3.0,6,14-AUG-23,24-NOV-23,W,09:00 AM-09:50 AM,49,49,"SaniyaBarbolova,MoldirKaiynbayeva,Timothy Wawn,AigerimZhangozina",(C3)1009 - cap:70
BUS 101,8R,Core Course in Business,3.0,6,14-AUG-23,24-NOV-23,W,10:00 AM-10:50 AM,48,49,"SaniyaBarbolova,MoldirKaiynbayeva,Timothy Wawn,AigerimZhangozina",(C3)1009 - cap:70
BUS 101,9R,Core Course in Business,3.0,6,14-AUG-23,24-NOV-23,W,11:00 AM-11:50 AM,49,49,"SaniyaBarbolova,MoldirKaiynbayeva,Timothy Wawn,AigerimZhangozina",(C3)1009 - cap:70
BUS 101,10R,Core Course in Business,3.0,6,14-AUG-23,24-NOV-23,W,01:00 PM-01:50 PM,49,49,"SaniyaBarbolova,MoldirKaiynbayeva,Timothy Wawn,AigerimZhangozina",(C3)1009 - cap:70
BUS 101,11R,Core Course in Business,3.0,6,14-AUG-23,24-NOV-23,W,02:00 PM-02:50 PM,48,49,"SaniyaBarbolova,MoldirKaiynbayeva,Timothy Wawn,AigerimZhangozina",(C3)1009 - cap:70
BUS 101,12R,Core Course in Business,3.0,6,14-AUG-23,24-NOV-23,W,03:00 PM-03:50 PM,47,49,"SaniyaBarbolova,MoldirKaiynbayeva,Timothy Wawn,AigerimZhangozina",(C3)1009 -cap:70
CEE 200,1Lb,Structural Mechanics I,3.0,6,14-AUG-23,24-NOV-23,R,09:00 AM-10:15 AM,31,43,ElnaraKussinova,3.143 -cap:20
CEE 200,2Lb,Structural Mechanics I,3.0,6,14-AUG-23,24-NOV-23,F,12:00 PM-01:15 PM,43,42,ElnaraKussinova,3.143 -cap:20
CEE 200,4Lb,Structural Mechanics I,3.0,6,14-AUG-23,24-NOV-23,W,12:00 PM-01:15 PM,31,33,Asma Perveen,3.143 -cap:20
CEE 200,1L,Structural Mechanics I,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,74,85,ElnaraKussinova,3E.220 -cap:90
CEE 200,1T,Structural Mechanics I,3.0,6,14-AUG-23,24-NOV-23,M,05:00 PM-05:50 PM,75,85,ElnaraKussinova,3E.220 -cap:90
CEE 200,2L,Structural Mechanics I,3.0,6,14-AUG-23,24-NOV-23,T R,09:00 AM-10:15 AM,58,65,Asma Perveen,3E.220 -cap:90
CEE 200,2T,Structural Mechanics I,3.0,6,14-AUG-23,24-NOV-23,M,09:00 AM-09:50 AM,57,65,Asma Perveen,3E.220 -cap:90
CEE 200,3Lb,Structural Mechanics I,3.0,6,14-AUG-23,24-NOV-23,M,12:00 PM-01:15 PM,27,32,Asma Perveen,3E.328 -cap:20
CEE 201,2L,Environmental Chemistry,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,58,60,GulnurKalimuldina,3.302 -cap:76
CEE 201,3T,Environmental Chemistry,3.0,6,14-AUG-23,24-NOV-23,W,06:00 PM-06:50 PM,7,9,YelyzavetaArkhangelsky,3.303 -cap:32
CEE 201,1L,Environmental Chemistry,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,73,85,YelyzavetaArkhangelsky,3E.220 -cap:90
CEE 201,2T,Environmental Chemistry,3.0,6,14-AUG-23,24-NOV-23,T,05:00 PM-05:45 PM,58,60,GulnurKalimuldina,3E.223 -cap:63
CEE 201,1T,Environmental Chemistry,3.0,6,14-AUG-23,24-NOV-23,W,10:00 AM-10:50 AM,66,85,YelyzavetaArkhangelsky,3E.224 -cap:90
CEE 201,1Lb,Environmental Chemistry,3.0,6,14-AUG-23,24-NOV-23,T,03:00 PM-05:45 PM,30,43,YelyzavetaArkhangelsky,3E.120 -cap:20
CEE 201,2Lb,Environmental Chemistry,3.0,6,14-AUG-23,24-NOV-23,W,03:00 PM-05:45 PM,42,42,YelyzavetaArkhangelsky,3E.120 -cap:20
CEE 201,3Lb,Environmental Chemistry,3.0,6,14-AUG-23,24-NOV-23,R,03:00 PM-05:45 PM,28,35,GulnurKalimuldina,3E.431 -cap:15
CEE 201,4Lb,Environmental Chemistry,3.0,6,14-AUG-23,24-NOV-23,F,03:00 PM-05:45 PM,31,35,GulnurKalimuldina,3E.431 -cap:15
CEE 204,2CLb,Civil Engineering CAD andSurveying,3.0,6,14-AUG-23,24-NOV-23,R,03:00 PM-04:15 PM,19,28,BakhytAubakirova,3E.217 -cap:28
CEE 204,3CLb,Civil Engineering CAD andSurveying,3.0,6,14-AUG-23,24-NOV-23,F,03:00 PM-04:15 PM,25,28,BakhytAubakirova,3E.217 -cap:28
CEE 204,1L,Civil Engineering CAD andSurveying,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,73,85,BakhytAubakirova,3E.224 -cap:90
CEE 204,1CLb,Civil Engineering CAD andSurveying,3.0,6,14-AUG-23,24-NOV-23,M,03:00 PM-04:15 PM,29,30,BakhytAubakirova,3E.227 -cap:28
CEE 204,1Lb,Civil Engineering CAD andSurveying,3.0,6,14-AUG-23,24-NOV-23,M,03:00 PM-04:15 PM,30,30,BakhytAubakirova,3E.129 -cap:25
CEE 204,2Lb,Civil Engineering CAD andSurveying,3.0,6,14-AUG-23,24-NOV-23,R,03:00 PM-04:15 PM,22,28,BakhytAubakirova,3E.129 -cap:25
CEE 204,3Lb,Civil Engineering CAD andSurveying,3.0,6,14-AUG-23,24-NOV-23,F,03:00 PM-04:15 PM,21,28,BakhytAubakirova,3E.129 -cap:25
CEE 300,1L,Structural Design –Concrete,3.0,6,14-AUG-23,24-NOV-23,T R,09:00 AM-10:15 AM,66,70,Shazim Memon,3.302 -cap:76
CEE 300,1T,Structural Design –Concrete,3.0,6,14-AUG-23,24-NOV-23,F,10:00 AM-10:50 AM,66,70,Shazim Memon,3E.224 -cap:90
CEE 302,1L,Geotechnical Engineering,3.0,6,14-AUG-23,24-NOV-23,M W F,09:00 AM-09:50 AM,66,70,Sung Moon,3.302 -cap:76
